group,regime,arm,chosen,value,ci_lo,ci_hi
n = 100,honest,"MIDIAN-VA, b = 1",midian_va b=1,0.7104999999999999,0.68979,0.731605
n = 100,β=0.5 cartel,"MIDIAN-VA, b = 1",midian_va b=1,0.6972,0.6758974999999999,0.7169
n = 100,honest,"MIDIAN-VA, b = 3",midian_va,0.7816,0.7582,0.8019000000000001
n = 100,β=0.5 cartel,"MIDIAN-VA, b = 3",midian_va,0.768,0.7457975,0.7897025000000001
n = 100,honest,"MIDIAN-VA, b = 5",midian_va b=5,0.8121,0.7963975,0.8267
n = 100,β=0.5 cartel,"MIDIAN-VA, b = 5",midian_va b=5,0.8121,0.7963975,0.8267
n = 100,honest,MIDIAN,midian,0.7746833333333333,0.7565962500000001,0.79223375
n = 100,β=0.5 cartel,MIDIAN,midian,0.7358666666666667,0.7218316666666666,0.7513666666666665
n = 100,honest,flat probe argmax (online),flat_probe_argmax_online,0.7805,0.7660975,0.7931
n = 100,β=0.5 cartel,flat probe argmax (online),flat_probe_argmax_online,0.7805,0.7660975,0.7931
n = 100,honest,best learned router,knn_router_online,0.7375999999999999,0.7163875,0.7579025000000001
n = 100,β=0.5 cartel,best learned router,knn_router_online,0.7375999999999999,0.7163875,0.7579025000000001
n = 100,honest,best bandit,warm_start_bandit,0.73,0.7154974999999999,0.7435999999999999
n = 100,β=0.5 cartel,best bandit,warm_start_bandit,0.7182999999999999,0.7036,0.7319
n = 100,honest,declared argmax,declared_argmax,0.5991666666666667,0.5798958333333334,0.6178008333333332
n = 100,β=0.5 cartel,declared argmax,declared_argmax,0.5181,0.4831999999999999,0.5504
n = 100,honest,random,random,0.42575,0.4078,0.4416025
n = 100,β=0.5 cartel,random,random,0.42575,0.4078,0.4416025
"n = 1,000",honest,"MIDIAN-VA, b = 1",midian_va b=1,0.6913,0.6806975000000001,0.7019
"n = 1,000",β=0.5 cartel,"MIDIAN-VA, b = 1",midian_va b=1,0.6914,0.6786999999999999,0.7041999999999999
"n = 1,000",honest,"MIDIAN-VA, b = 3",midian_va,0.8134,0.8051999999999999,0.8208
"n = 1,000",β=0.5 cartel,"MIDIAN-VA, b = 3",midian_va,0.8074,0.7972,0.8173999999999999
"n = 1,000",honest,"MIDIAN-VA, b = 5",midian_va b=5,0.8376999999999999,0.8313975,0.8446999999999999
"n = 1,000",β=0.5 cartel,"MIDIAN-VA, b = 5",midian_va b=5,0.8375,0.8311999999999999,0.8443999999999999
"n = 1,000",honest,MIDIAN,midian,0.7889833333333334,0.7853325,0.7917000000000001
"n = 1,000",β=0.5 cartel,MIDIAN,midian,0.7379166666666667,0.72446625,0.7497
"n = 1,000",honest,flat probe argmax (online),flat_probe_argmax_online,0.7871000000000001,0.7809000000000001,0.7929025000000002
"n = 1,000",β=0.5 cartel,flat probe argmax (online),flat_probe_argmax_online,0.7869,0.7806975,0.7925000000000001
"n = 1,000",honest,best learned router,knn_router_online,0.7656,0.7534974999999999,0.7759
"n = 1,000",β=0.5 cartel,best learned router,knn_router_online,0.7656,0.7534974999999999,0.7759
"n = 1,000",honest,best bandit,warm_start_bandit,0.7634000000000001,0.7564,0.7704000000000001
"n = 1,000",β=0.5 cartel,best bandit,warm_start_bandit,0.7678,0.7605999999999999,0.7752000000000001
"n = 1,000",honest,declared argmax,declared_argmax,0.6154499999999999,0.5926475,0.6356499999999999
"n = 1,000",β=0.5 cartel,declared argmax,declared_argmax,0.5202000000000001,0.4930974999999999,0.5461025
"n = 1,000",honest,random,random,0.43215,0.42289875,0.4402999999999999
"n = 1,000",β=0.5 cartel,random,random,0.43215,0.42295,0.4404
"n = 10,000",honest,"MIDIAN-VA, b = 3",midian_va,0.8111111111111112,0.7866666666666666,0.8566666666666668
"n = 10,000",β=0.5 cartel,"MIDIAN-VA, b = 3",midian_va,0.81,0.7866666666666666,0.8533333333333334
"n = 10,000",honest,MIDIAN,midian,0.785,0.7566666666666667,0.8249999999999998
"n = 10,000",β=0.5 cartel,MIDIAN,midian,0.7522222222222222,0.7066666666666667,0.8033333333333333
"n = 10,000",honest,flat probe argmax (online),flat_probe_argmax_online,0.7744444444444444,0.7150000000000002,0.83
"n = 10,000",β=0.5 cartel,flat probe argmax (online),flat_probe_argmax_online,0.7744444444444444,0.7166666666666667,0.83
"n = 10,000",honest,best learned router,knn_router_online,0.7311111111111112,0.6833333333333332,0.7866666666666666
"n = 10,000",β=0.5 cartel,best learned router,knn_router_online,0.7311111111111112,0.6833333333333332,0.7866666666666666
"n = 10,000",honest,best bandit,warm_start_bandit,0.7433333333333333,0.685,0.775
"n = 10,000",β=0.5 cartel,best bandit,warm_start_bandit,0.7833333333333333,0.7233333333333333,0.84
"n = 10,000",honest,declared argmax,declared_argmax,0.6577777777777777,0.5866666666666667,0.7066666666666667
"n = 10,000",β=0.5 cartel,declared argmax,declared_argmax,0.5322222222222223,0.47,0.6066666666666667
"n = 10,000",honest,random,random,0.4166666666666667,0.3833333333333333,0.4666666666666666
"n = 10,000",β=0.5 cartel,random,random,0.4166666666666667,0.3833333333333333,0.4666666666666666
"n = 100,000",honest,"MIDIAN-VA, b = 3",midian_va,0.8355555555555556,0.81,0.8566666666666668
"n = 100,000",β=0.5 cartel,"MIDIAN-VA, b = 3",midian_va,0.8277777777777778,0.8133333333333334,0.8366666666666666
"n = 100,000",honest,MIDIAN,midian,0.7522222222222222,0.7133333333333334,0.79
"n = 100,000",β=0.5 cartel,MIDIAN,midian,0.7055555555555556,0.68,0.7466666666666667
"n = 100,000",honest,flat probe argmax (online),flat_probe_argmax_online,0.7488888888888888,0.7033333333333335,0.8066666666666666
"n = 100,000",β=0.5 cartel,flat probe argmax (online),flat_probe_argmax_online,0.7488888888888888,0.7033333333333335,0.8066666666666666
"n = 100,000",honest,best learned router,knn_router_online,0.7411111111111112,0.71,0.7766666666666667
"n = 100,000",β=0.5 cartel,best learned router,knn_router_online,0.7411111111111112,0.71,0.7766666666666667
"n = 100,000",honest,best bandit,warm_start_bandit,0.7377777777777778,0.68,0.7833333333333333
"n = 100,000",β=0.5 cartel,best bandit,warm_start_bandit,0.7777777777777777,0.7399999999999999,0.8166666666666668
"n = 100,000",honest,declared argmax,declared_argmax,0.6222222222222222,0.5933333333333334,0.6733333333333333
"n = 100,000",β=0.5 cartel,declared argmax,declared_argmax,0.5777777777777778,0.5433333333333333,0.6133333333333333
"n = 100,000",honest,random,random,0.4422222222222222,0.42,0.4733333333333333
"n = 100,000",β=0.5 cartel,random,random,0.4422222222222222,0.42,0.4733333333333333
